seller_id,spike_type,start_day,n_orders,duration_days,ramp_rate_vs_baseline,pct_new_buyers,n_distinct_states,geo_entropy,mean_delivery_days,std_delivery_days,return_rate,refund_claim_speed_days,refund_claim_speed_std
51,anomalous,157,23,1,8.422,0.946,5,0.46,5.861,0.446,0.623,1.078,0.984
55,anomalous,149,83,3,11.569,0.804,1,0.335,3.301,2.904,0.686,4.425,0.02
57,organic,132,49,4,4.617,0.615,7,1.417,7.768,5.095,0.149,8.17,2.279
60,organic,126,35,2,8.494,0.605,5,1.209,5.459,8.312,0.186,4.724,3.434
60,anomalous,69,11,1,8.932,0.904,6,1.461,3.823,1.13,0.405,2.744,1.259
61,organic,104,22,3,4.597,0.663,7,1.564,7.312,6.156,0.105,12.038,1.959
61,anomalous,61,59,1,21.851,0.68,4,0.671,0.09,0.717,0.312,0.05,1.451
63,organic,94,33,1,17.149,0.648,3,0.836,7.704,4.973,0.063,3.616,4.798
64,organic,167,85,3,8.978,0.712,11,2.072,7.511,6.029,0.236,8.118,3.98
65,anomalous,112,109,2,21.85,0.737,5,0.552,0.425,0.303,0.692,4.041,0.412
66,organic,74,23,2,10.443,0.633,5,1.42,7.945,6.242,0.199,7.923,2.13
68,organic,75,26,2,5.93,0.727,10,1.947,7.444,4.032,0.015,7.478,4.134
68,anomalous,100,69,4,10.244,0.655,8,1.271,7.86,3.063,0.42,6.503,2.305
72,organic,141,19,1,8.237,0.737,3,0.725,4.896,3.83,0.111,6.76,1.574
74,organic,106,14,3,7.565,0.257,4,1.289,13.3,5.129,0.25,10.715,2.443
75,anomalous,29,29,2,13.657,0.796,2,0.604,3.809,1.261,0.78,2.933,0.458
77,anomalous,57,66,1,18.629,0.737,4,0.61,0.626,0.242,0.757,0.05,0.402
78,organic,16,64,6,5.886,0.525,13,1.934,11.995,7.994,0.121,5.756,3.4
78,anomalous,135,89,2,21.203,0.842,4,0.629,2.786,0.996,0.936,1.454,0.358
79,organic,107,42,3,4.659,0.841,12,2.172,11.581,7.501,0.016,5.858,3.325
80,organic,149,43,5,6.132,0.484,12,1.995,4.412,3.005,0.066,14.367,2.96
81,organic,131,35,1,13.815,0.818,5,0.88,7.445,3.455,0.361,7.386,1.722
82,anomalous,34,39,3,5.794,0.739,6,1.014,6.717,3.837,0.223,6.509,0.923
83,organic,51,26,1,15.23,0.748,6,1.243,5.35,5.07,0.409,6.783,2.615
87,organic,60,10,2,9.373,0.659,7,1.824,10.3,8.141,0.05,11.131,2.419
91,organic,91,68,5,10.183,0.734,9,2.24,6.998,3.995,0.313,6.061,3.771
93,organic,73,39,2,9.622,0.725,10,2.554,6.435,3.189,0.37,5.244,1.879
95,organic,138,8,1,6.488,0.536,5,1.427,8.208,7.14,0.161,8.481,3.985
96,organic,62,16,1,8.329,0.591,6,1.832,4.505,6.335,0.155,9.314,4.706
97,organic,129,45,4,10.266,0.749,13,2.411,7.882,8.041,0.115,5.892,2.269
99,anomalous,50,92,2,15.385,1.0,3,0.426,1.851,1.484,0.494,0.958,0.446
100,organic,44,14,1,6.964,0.599,4,0.901,5.546,4.616,0.181,9.885,2.69
102,organic,102,18,3,6.385,0.482,15,3.502,6.031,6.892,0.017,5.431,1.841
107,organic,38,20,5,3.942,0.587,10,2.278,11.874,6.293,0.092,11.105,3.271
107,anomalous,101,75,1,32.502,0.718,4,0.411,5.949,0.412,0.778,4.411,0.481
108,organic,166,64,4,5.688,0.492,7,1.216,10.427,3.771,0.045,10.877,1.084
109,organic,165,22,1,17.983,0.711,3,0.679,3.467,7.588,0.325,7.32,3.775
110,organic,22,40,3,6.896,0.661,13,2.602,9.11,4.081,0.14,10.61,3.195
110,anomalous,169,21,1,10.629,0.919,4,0.933,2.973,1.727,0.617,3.065,1.566
112,organic,92,15,1,15.059,0.836,4,1.295,4.817,5.386,0.32,4.512,4.097
114,organic,64,44,2,8.344,0.774,6,1.27,7.443,6.084,0.116,5.432,2.716
115,anomalous,167,101,2,26.726,0.84,2,0.302,0.763,1.236,0.873,0.05,0.186
116,organic,137,75,4,9.577,0.582,11,2.104,16.861,7.025,0.049,6.394,0.75
116,anomalous,51,20,1,11.662,0.9,2,0.705,6.073,0.486,0.319,4.429,0.938
118,organic,112,20,2,9.684,0.72,5,1.73,7.783,7.16,0.12,7.587,1.836
120,organic,160,19,1,7.705,0.697,5,1.569,6.151,6.025,0.157,5.461,2.034
122,organic,107,17,2,6.36,0.759,10,2.06,7.455,6.575,0.144,9.5,4.895
124,anomalous,160,33,4,8.03,0.46,6,1.165,5.781,4.726,0.55,4.875,1.088
125,organic,95,33,3,5.329,0.412,7,1.891,14.766,6.023,0.241,9.394,1.584
127,organic,60,21,2,8.693,0.666,4,0.754,4.974,4.51,0.127,4.615,2.382
131,anomalous,157,136,2,24.118,0.809,2,0.418,2.548,0.264,0.858,2.167,0.313
133,organic,130,41,5,3.755,0.472,9,1.708,13.44,8.205,0.056,14.302,1.464
134,anomalous,86,24,2,7.946,0.971,3,0.724,2.821,2.551,0.638,1.74,0.609
135,organic,152,9,1,7.142,0.783,3,1.198,7.755,5.037,0.192,4.937,3.482
136,organic,112,19,3,5.025,0.441,6,1.203,9.915,6.076,0.056,8.796,4.641
140,anomalous,58,145,2,33.804,0.924,2,0.385,0.05,0.622,0.784,1.126,0.02
141,organic,152,29,1,11.514,0.737,8,1.556,8.906,7.835,0.032,5.236,5.042
141,anomalous,82,36,1,16.478,0.855,5,0.755,4.381,0.518,0.535,4.139,0.475
142,organic,1,46,3,13.522,0.618,8,1.601,7.369,7.287,0.243,5.314,2.912
143,organic,4,107,3,15.504,0.706,6,1.085,4.978,8.626,0.173,2.71,1.076
143,anomalous,66,87,2,20.38,1.0,5,0.61,3.508,1.093,0.588,2.186,1.24
144,organic,136,81,6,5.919,0.308,12,2.022,8.367,5.527,0.111,11.661,2.336
145,anomalous,81,65,2,16.971,0.811,4,0.533,5.609,1.576,0.439,3.266,0.13
146,organic,109,41,2,12.163,0.708,10,1.903,5.644,5.285,0.091,4.168,1.92
148,organic,126,55,6,4.796,0.574,8,1.343,8.771,6.057,0.0,13.978,2.784
149,organic,140,50,3,9.525,0.832,15,2.982,5.044,2.811,0.238,8.58,4.955
150,organic,159,22,1,15.319,0.834,4,0.564,5.505,2.672,0.241,6.055,3.588
151,organic,126,38,6,9.093,0.487,7,1.364,14.271,3.166,0.09,9.087,2.108
151,anomalous,78,39,2,13.22,0.87,8,1.433,5.789,1.399,0.516,1.909,0.105
152,organic,139,35,6,4.502,0.547,14,2.757,12.772,3.768,0.085,9.186,4.19
155,organic,69,31,2,14.339,0.745,6,1.032,4.463,5.368,0.193,6.311,3.109
156,organic,104,23,1,12.564,0.888,17,3.715,10.108,5.769,0.164,5.208,2.267
157,organic,56,53,4,4.867,0.486,16,2.255,7.104,3.441,0.044,6.88,2.809
158,organic,137,68,6,4.656,0.626,8,1.411,6.44,6.88,0.048,9.496,4.478
159,organic,100,99,5,11.387,0.698,9,1.253,11.692,5.958,0.28,5.118,3.001
160,organic,27,39,3,7.855,0.575,15,2.811,10.041,8.751,0.249,8.441,3.082
160,anomalous,75,54,1,25.51,0.789,2,0.158,1.88,1.631,0.918,0.614,0.651
162,anomalous,156,19,3,6.063,0.581,7,2.026,6.934,5.034,0.127,7.169,2.482
163,organic,70,10,1,9.494,0.755,3,1.041,4.44,5.769,0.183,4.611,2.067
164,organic,68,48,4,5.156,0.378,8,1.582,12.792,8.551,0.019,15.758,1.436
164,anomalous,47,96,2,14.602,0.866,5,0.46,1.432,0.343,0.469,1.323,0.167
165,organic,10,42,5,3.508,0.376,8,1.593,12.227,3.085,0.159,13.796,4.524
166,anomalous,27,30,2,11.933,0.58,4,0.93,7.066,7.57,0.306,8.531,3.358
167,organic,158,82,5,9.189,0.53,11,2.46,10.408,6.941,0.178,13.343,1.401
168,anomalous,98,41,1,31.097,0.71,1,0.165,0.74,1.811,0.495,1.246,0.434
169,organic,97,47,3,9.719,0.834,9,2.174,7.217,3.431,0.132,8.914,3.585
171,organic,24,55,5,5.33,0.582,10,1.765,5.403,3.946,0.157,8.583,1.581
172,anomalous,123,19,1,18.557,0.986,5,0.211,0.321,0.979,0.745,4.035,0.356
174,organic,110,15,1,7.282,0.632,9,2.319,5.509,7.908,0.075,9.751,1.705
174,anomalous,32,41,1,17.298,0.755,7,0.98,5.021,1.029,0.357,4.659,0.459
175,anomalous,11,21,1,21.837,0.78,2,0.733,6.119,2.945,0.762,1.357,0.654
176,organic,120,23,4,4.881,0.479,12,2.711,10.558,6.937,0.02,6.637,4.851
177,anomalous,144,62,2,17.102,0.814,5,0.68,2.319,0.05,0.869,1.424,0.657
178,organic,46,36,2,12.565,0.818,8,1.544,4.916,7.402,0.029,8.76,2.994
178,anomalous,26,41,3,12.689,0.766,3,0.764,5.819,2.998,0.81,1.512,0.981
179,organic,32,17,2,10.455,0.443,10,2.43,13.319,5.406,0.304,6.903,4.798
180,organic,19,38,1,13.774,0.797,4,0.537,2.946,5.454,0.317,4.542,1.942
181,anomalous,136,56,3,17.06,0.894,6,0.981,4.537,0.94,0.513,1.46,0.02
182,anomalous,117,36,3,4.758,0.693,6,1.287,9.639,2.737,0.113,6.224,4.586
183,organic,151,53,4,9.9,0.695,5,1.139,9.325,2.904,0.0,4.813,4.346
184,organic,80,52,3,11.511,0.681,7,1.553,4.344,8.462,0.264,5.35,1.799
185,organic,149,70,4,4.991,0.712,12,2.327,7.881,8.12,0.168,3.724,4.533
197,organic,162,84,3,15.744,0.849,2,0.516,11.421,8.092,0.307,6.773,4.118
197,anomalous,96,71,3,11.813,0.616,4,0.354,4.515,0.288,0.455,1.012,0.551
198,organic,111,27,2,7.237,0.849,9,2.11,10.552,5.733,0.178,8.154,4.866
199,organic,146,68,2,14.655,0.781,7,1.37,7.644,5.674,0.345,7.537,4.184
199,anomalous,0,26,3,5.16,0.609,4,0.891,2.091,2.381,0.275,5.755,1.915
203,organic,41,57,3,5.99,0.365,13,2.124,15.206,3.1,0.095,11.586,4.337
204,organic,148,15,1,11.946,0.563,4,1.042,8.209,3.631,0.198,10.177,1.785
205,organic,36,50,5,8.852,0.511,7,1.587,12.941,2.618,0.0,9.531,3.58
205,anomalous,13,22,1,12.631,0.85,7,1.41,5.075,2.535,0.529,3.344,1.063
206,organic,147,39,2,8.08,0.69,14,2.26,11.832,7.276,0.042,13.021,2.7
206,anomalous,126,43,2,11.641,0.67,5,0.64,3.201,3.002,0.794,0.751,0.598
209,organic,44,54,2,11.563,0.713,6,1.176,5.856,6.611,0.126,3.748,3.638
211,anomalous,149,38,2,22.098,0.798,3,0.187,4.047,1.137,0.637,1.382,0.15
212,organic,47,39,5,4.449,0.533,17,2.935,13.746,5.534,0.179,11.382,3.996
213,anomalous,2,20,2,8.83,0.901,6,0.978,6.465,1.438,0.457,4.83,0.563
215,anomalous,55,115,3,13.04,0.605,3,0.534,3.081,4.175,0.458,4.213,2.041
219,organic,30,43,3,7.273,0.488,11,2.386,8.334,6.182,0.086,12.023,4.3
220,organic,37,13,3,3.506,0.244,10,3.038,11.108,5.469,0.047,6.221,4.839
221,organic,158,10,1,8.942,0.593,6,1.752,4.971,5.828,0.277,3.421,2.036
222,organic,23,53,3,12.592,0.729,3,0.66,3.05,2.569,0.118,4.036,3.313
227,organic,10,26,3,5.706,0.832,12,2.788,6.139,4.276,0.213,9.106,1.992
230,anomalous,75,130,2,28.992,0.79,5,0.569,1.834,0.644,0.573,1.111,0.02
232,organic,114,20,2,8.297,0.577,5,1.069,12.616,4.313,0.318,7.56,3.78
234,organic,37,71,3,11.244,0.822,5,0.942,5.691,5.42,0.275,6.608,3.171
235,organic,16,51,2,11.685,0.692,6,1.264,4.123,3.873,0.407,4.796,1.244
237,anomalous,89,148,3,22.457,0.671,7,0.783,4.739,0.981,0.249,2.805,0.75
240,organic,91,21,3,8.913,0.548,6,1.885,9.695,6.416,0.074,7.613,1.569
240,anomalous,19,38,2,7.211,0.635,5,0.589,6.57,2.508,0.45,2.52,1.175
242,organic,143,14,1,9.036,0.835,9,3.759,7.852,7.496,0.333,8.018,4.054
243,organic,150,15,1,7.666,0.872,2,0.807,3.821,5.92,0.251,5.202,3.757
245,anomalous,75,105,2,20.952,0.813,6,0.814,3.21,1.196,0.585,1.318,0.902
246,organic,140,19,2,4.284,0.679,5,1.005,5.409,5.42,0.159,11.642,4.497
249,organic,65,30,4,3.556,0.32,14,2.79,7.916,3.871,0.007,10.68,4.839
250,organic,20,40,2,10.895,0.527,8,1.988,9.618,7.045,0.238,6.598,0.721
250,anomalous,106,15,1,6.668,0.631,6,1.29,3.25,1.059,0.36,3.774,0.75
252,organic,86,11,2,4.011,0.606,13,3.923,4.455,2.255,0.014,8.401,4.496
253,organic,35,50,3,11.68,0.848,4,0.959,9.621,6.22,0.294,9.142,3.917
253,anomalous,91,34,1,22.449,0.956,2,0.388,2.0,1.026,0.654,0.085,0.564
254,organic,109,22,3,5.29,0.521,6,2.016,9.875,6.174,0.154,8.101,2.224
254,anomalous,70,21,2,8.312,0.598,4,1.152,0.05,2.095,0.327,6.987,0.583
255,organic,148,53,5,11.898,0.532,14,2.208,10.579,7.463,0.11,13.101,1.795
259,organic,94,17,1,10.761,0.685,8,1.565,7.108,6.448,0.318,11.64,2.248
259,anomalous,80,37,2,9.653,0.859,5,1.089,5.699,2.418,0.469,3.293,0.607
260,organic,108,20,4,3.785,0.415,4,0.805,6.525,7.815,0.081,6.772,4.264
261,organic,74,30,3,5.199,0.802,12,1.995,10.859,3.463,0.107,5.479,1.311
263,organic,46,75,3,10.431,0.799,3,0.457,4.871,6.311,0.181,7.763,4.446
263,anomalous,130,71,1,18.165,0.82,2,0.147,5.965,1.238,0.799,3.735,0.38
265,organic,53,13,2,6.811,0.731,11,3.005,8.829,5.758,0.111,13.659,3.037
265,anomalous,2,19,1,23.839,0.777,5,0.805,2.26,1.452,0.462,2.206,0.55
266,organic,46,45,3,10.318,0.647,7,1.423,7.95,6.045,0.129,11.523,2.864
270,organic,165,60,3,8.665,0.793,1,0.456,4.476,4.308,0.134,5.784,1.674
271,organic,149,38,3,8.746,0.721,9,1.748,8.563,6.175,0.055,6.511,2.779
274,organic,18,39,3,10.7,0.651,7,1.949,5.852,7.836,0.278,7.647,3.911
274,anomalous,75,125,2,31.836,0.93,1,0.317,3.954,0.52,0.845,1.821,0.313
276,anomalous,132,44,2,10.185,0.831,2,0.727,3.308,2.259,0.769,2.097,0.631
277,organic,9,63,2,14.869,0.597,7,1.269,5.631,5.418,0.279,6.332,1.698
278,organic,77,35,1,13.383,0.807,6,1.308,4.259,6.689,0.238,8.221,2.658
282,organic,28,113,3,18.057,0.763,8,1.099,4.096,8.926,0.203,4.874,1.818
283,anomalous,94,16,1,15.159,1.0,3,0.456,2.123,0.273,0.795,0.2,0.142
284,anomalous,87,199,2,19.178,1.0,5,0.274,2.645,0.728,0.795,3.786,0.572
286,organic,97,88,3,13.824,0.853,5,1.035,3.772,5.555,0.254,5.861,1.715
288,organic,52,23,1,9.553,0.661,8,2.169,5.712,3.523,0.187,8.814,1.307
289,organic,50,33,3,12.638,0.833,5,1.218,6.622,7.577,0.297,6.308,1.049
291,organic,111,12,3,4.512,0.258,6,1.466,9.635,4.24,0.216,5.209,4.697
291,anomalous,72,24,1,11.185,0.857,1,0.195,1.934,0.831,0.96,0.148,0.464
293,organic,40,13,1,5.546,0.695,4,1.146,8.893,3.244,0.28,7.423,3.489
295,organic,167,130,3,15.948,0.787,7,1.309,3.376,6.074,0.249,5.046,4.038
297,organic,52,21,2,6.974,0.702,6,1.405,4.731,4.235,0.058,3.412,1.311
298,organic,75,28,2,9.449,0.779,6,1.296,8.472,4.22,0.286,5.167,1.408
301,organic,141,31,2,14.464,0.768,12,3.487,10.654,2.878,0.332,4.603,3.203
302,anomalous,33,34,2,8.949,0.672,7,1.548,0.648,2.586,0.305,4.269,1.165
305,organic,166,42,1,16.955,0.862,6,1.37,4.275,5.113,0.331,6.996,3.746
309,organic,6,22,1,9.019,0.872,4,1.241,7.311,3.154,0.42,2.964,3.53
310,organic,9,108,3,15.298,0.691,5,0.847,12.37,7.887,0.254,6.775,1.964
311,anomalous,113,57,2,15.139,1.0,3,0.487,0.05,1.018,0.684,1.629,0.02
314,organic,29,68,3,7.318,0.591,14,2.1,13.28,4.056,0.18,11.149,1.601
314,anomalous,45,68,1,24.802,0.741,2,0.537,3.735,0.842,0.69,0.05,0.874
316,organic,32,56,4,6.61,0.583,17,2.579,10.207,6.014,0.068,10.218,2.995
316,anomalous,76,76,3,16.858,0.749,2,0.278,4.78,1.643,0.685,0.597,0.463
317,organic,74,13,2,8.536,0.399,15,3.373,8.464,6.439,0.253,12.546,2.006
318,anomalous,133,82,2,26.291,0.813,1,0.148,2.722,0.719,0.732,2.724,0.848
319,organic,35,37,2,11.634,0.861,8,1.346,6.049,2.431,0.159,8.973,4.282
321,organic,68,19,1,7.556,0.577,13,3.033,6.32,6.32,0.14,11.738,2.385
322,organic,129,74,3,9.27,0.752,18,3.075,14.294,2.299,0.036,14.262,2.59
329,organic,117,37,4,4.399,0.841,11,2.613,3.765,7.39,0.14,7.157,4.284
334,organic,169,44,4,4.817,0.712,12,2.929,8.56,5.413,0.247,7.554,3.999
335,organic,56,40,5,6.148,0.472,15,2.248,11.09,5.213,0.051,8.074,4.712
337,organic,80,65,2,13.272,0.721,3,0.793,5.204,3.374,0.136,5.819,3.899
337,organic,19,124,3,18.0,0.653,6,0.944,5.386,0.611,0.768,4.994,1.647
339,organic,132,61,4,8.486,0.653,12,2.346,8.019,4.084,0.03,10.548,4.339
341,anomalous,63,28,2,13.763,0.903,2,0.618,2.247,0.69,0.679,1.3,0.224
342,organic,62,53,2,8.584,0.614,11,1.791,6.558,7.275,0.201,12.277,2.374
343,anomalous,81,105,4,9.311,0.65,8,1.031,7.999,3.099,0.552,7.441,0.824
344,anomalous,98,81,2,28.35,0.969,3,0.433,4.312,1.829,0.998,0.453,0.563
345,organic,125,9,1,5.094,0.747,10,3.262,6.494,5.645,0.124,7.174,2.748
346,organic,169,14,1,9.17,0.821,6,1.695,6.44,3.196,0.227,2.458,1.29
348,organic,72,21,2,4.954,0.599,11,3.142,5.628,3.32,0.26,8.839,2.667
348,anomalous,33,28,1,28.741,0.772,1,0.43,2.032,0.909,0.717,0.05,0.02
349,organic,132,40,2,7.137,0.673,15,2.971,12.037,4.455,0.072,12.828,2.665
351,organic,55,46,2,11.591,0.698,10,1.935,9.515,5.069,0.321,8.621,1.263
351,anomalous,149,37,1,19.733,0.995,2,0.588,0.953,0.837,0.999,2.014,0.466
353,organic,25,9,1,9.931,0.456,7,2.327,6.608,5.28,0.142,7.507,4.665
354,organic,28,40,5,5.991,0.671,6,1.372,10.196,8.013,0.208,7.289,4.897
354,anomalous,104,66,2,13.404,0.82,2,0.292,2.698,0.75,0.692,0.252,0.028
355,organic,63,89,3,14.243,0.829,12,1.806,11.294,4.25,0.23,7.447,2.843
356,organic,22,63,2,14.051,0.917,3,0.703,8.617,8.498,0.262,4.25,3.047
357,organic,149,48,3,9.418,0.756,13,2.416,7.81,4.061,0.183,8.04,4.925
359,organic,131,48,3,4.996,0.602,6,1.148,8.449,6.42,0.058,9.178,3.997
361,organic,3,32,4,7.145,0.225,4,0.787,9.784,3.481,0.262,14.009,0.924
363,organic,89,9,2,3.709,0.208,9,2.823,11.95,4.987,0.007,6.246,2.836
365,anomalous,9,30,3,4.9,0.469,11,2.709,7.758,6.429,0.092,12.801,2.078
366,organic,80,52,2,17.361,0.768,4,0.713,7.555,5.091,0.102,8.353,2.767
368,organic,132,46,2,9.878,0.771,5,0.658,5.835,4.176,0.077,5.913,4.703
370,anomalous,169,20,1,12.209,0.77,6,1.447,4.457,1.509,0.438,0.785,1.299
380,organic,5,70,5,7.937,0.652,11,1.623,8.473,3.256,0.244,6.166,2.601
381,organic,73,63,5,5.253,0.455,5,0.905,15.665,2.448,0.071,7.713,2.526
382,organic,83,56,3,7.457,0.879,3,0.772,4.782,5.655,0.259,6.829,2.638
385,organic,52,20,1,9.13,0.621,4,0.865,9.597,6.331,0.074,7.774,4.463
386,organic,123,33,2,13.587,0.765,5,1.265,6.758,6.096,0.317,4.87,4.321
386,anomalous,26,54,2,16.769,0.707,5,1.015,6.773,3.084,0.543,3.93,0.194
388,organic,74,19,1,9.509,0.635,9,2.058,6.566,8.12,0.249,5.586,3.51
389,organic,135,50,4,6.509,0.551,15,3.12,11.1,5.346,0.111,5.254,3.779
389,anomalous,82,55,2,12.201,0.862,3,0.466,5.239,2.013,0.862,4.939,0.21
390,anomalous,131,29,2,6.639,0.783,6,1.251,5.263,0.699,0.523,3.875,1.367
391,organic,102,31,3,5.294,0.593,14,2.61,5.949,4.197,0.042,6.139,1.811
394,organic,63,38,5,3.442,0.362,12,2.298,13.603,7.893,0.102,7.703,2.869
394,anomalous,146,125,2,25.554,0.777,4,0.578,1.958,1.155,0.949,3.425,0.636
396,organic,53,15,2,5.779,0.719,6,1.505,16.12,7.258,0.188,7.245,4.447
399,organic,150,39,2,7.081,0.638,4,0.713,5.133,3.455,0.083,5.983,3.241
400,organic,62,32,2,6.873,0.569,2,0.609,4.665,7.471,0.336,6.377,3.769
400,anomalous,43,79,1,38.486,0.837,3,0.359,1.094,0.05,0.95,0.893,0.02
401,organic,122,11,1,9.252,0.915,6,2.391,5.107,8.577,0.284,5.691,1.909
402,organic,65,64,3,9.772,0.67,3,0.59,7.91,5.014,0.151,6.266,2.26
403,organic,120,24,2,8.489,0.724,9,2.073,7.121,2.211,0.124,7.895,2.386
406,organic,75,34,4,6.319,0.387,10,1.996,16.29,7.56,0.0,14.928,2.185
408,organic,162,50,3,9.246,0.755,11,2.302,5.208,7.453,0.043,9.339,3.878
409,organic,83,29,4,7.161,0.586,7,1.618,6.435,4.087,0.24,4.946,1.976
412,organic,110,38,2,7.684,0.6,7,1.489,9.55,2.538,0.197,9.141,1.714
413,organic,75,20,2,9.625,0.293,8,2.964,12.941,3.837,0.191,15.755,2.561
415,organic,4,78,4,7.873,0.695,12,2.251,3.656,6.98,0.109,4.864,0.951
416,anomalous,152,36,1,14.165,0.7,6,1.028,5.762,0.774,0.381,1.012,0.315
418,organic,104,79,5,6.555,0.821,14,2.223,12.103,4.082,0.129,8.313,2.705
418,anomalous,123,39,2,12.015,0.638,5,0.727,6.678,1.796,0.212,4.317,2.717
419,organic,164,43,4,9.458,0.508,11,1.985,10.959,5.485,0.238,6.078,2.644
424,organic,10,22,1,6.96,0.651,6,1.624,5.438,3.178,0.047,4.471,1.235
425,organic,64,43,2,13.585,0.897,5,1.239,6.989,3.36,0.297,3.99,1.72
426,organic,149,68,3,15.745,0.797,6,0.805,4.091,4.825,0.274,3.538,3.346
427,organic,62,21,3,5.14,0.502,8,2.67,9.375,5.242,0.044,7.561,2.033
427,anomalous,31,81,3,7.352,0.716,5,0.923,6.277,0.573,0.66,4.961,0.903
428,organic,126,29,2,6.137,0.738,13,2.775,12.446,3.823,0.007,5.766,1.85
430,organic,34,82,2,18.305,0.747,6,1.18,7.993,4.412,0.235,8.52,4.352
432,organic,50,40,2,16.907,0.763,6,1.12,5.139,4.609,0.391,5.554,4.425
435,organic,67,45,2,8.159,0.739,8,1.304,7.894,7.461,0.149,4.894,2.263
437,organic,70,38,4,9.428,0.536,14,2.467,9.7,4.233,0.174,8.378,1.284
437,anomalous,74,71,3,10.035,0.874,5,1.078,0.867,2.881,0.499,3.145,1.502
439,anomalous,24,100,2,16.351,0.699,4,0.657,3.647,1.147,0.341,4.233,0.42
440,organic,112,36,3,6.127,0.693,18,3.339,15.729,6.789,0.062,4.871,2.692
442,organic,72,29,1,10.271,0.457,5,1.253,9.429,7.098,0.066,7.304,3.371
442,anomalous,90,19,1,12.835,0.964,5,1.153,3.338,2.021,0.614,1.899,0.485
444,organic,43,56,6,3.95,0.526,14,2.794,12.952,3.856,0.046,6.541,2.548
446,organic,49,29,6,4.646,0.611,11,2.104,11.097,5.294,0.029,11.014,3.393
447,organic,42,101,3,13.864,0.693,3,0.445,5.803,5.834,0.333,3.962,4.268
447,anomalous,152,37,2,6.604,0.713,6,1.381,4.821,0.888,0.315,1.347,0.34
448,organic,100,28,4,5.518,0.511,12,2.097,9.267,5.824,0.0,7.215,1.464
449,organic,160,24,2,11.316,0.832,9,2.229,7.436,5.006,0.022,11.75,3.948
451,organic,166,31,6,7.944,0.494,5,1.178,13.946,5.103,0.13,10.952,2.231
452,organic,48,59,2,14.269,0.647,3,0.719,5.088,4.865,0.41,8.235,2.81
453,organic,132,9,2,7.062,0.686,5,1.705,7.092,7.062,0.11,8.328,3.205
454,organic,98,46,5,5.906,0.413,8,1.542,10.52,6.276,0.097,12.612,2.519
456,organic,41,59,2,12.69,0.706,13,2.383,6.506,6.228,0.346,9.314,2.134
